,design,system design,development,analysis,concept design,knowledge engineering,processing,review,system integration,evaluation,product design,detailed,information search,product support,engine analysis,knowledge management,manufacturing,optimization,creation,check,reasoning,system specification,training,decision support,failure,acquisition,product data management,knowledge capture,link analysis,detailed design,inference,manufacture,knowledge interaction,navigation,semantic representation,information classification,data validation,knowledge based engineering,resource description,system identification,data storage,information sharing,knowledge classification,mission analysis,scheduling,access product design data,configuration management,certification,test report,data visualization,knowledge base building,feature processing,archive,preliminary design,solving,project planning,system synthesis,dissemination,knowledge storage,ontology modeling,flight test,express ontology,plm,failure management,ground test,disciplinary analysis,life cycle simulation,business process integration,knowledge exploration,design space visualization,product verification,general assembly,conceptual modelling,multidisciplinary modeling,problem solving,workflow management,knowledge discovery,ontological engineering,mdao,calculation report,customer service,automated reasoning,authoring,system arch,context inference,information clustering,flight test report,recycling,information push,tooling development,nation decision,manufacturing preparation,alm,share documents,analyzing,structural solver,generate fem model,crawling,summarizing,enterprise resource planning,mdo process formulation,design blueprint,physical sensing,semantic lexicon,airworthiness test,system architecting,design concepts formalization,convert file formats,digital mockup,issue tc pc ac certification,processe data,access,word,expert systems,api,product data management system,express application,share point,excel,google,matlab,protégé,data mining,catia,eclipse,reasoner,tr,java application,learning tools,file server,web server,outlook,workflow systems,wikipedia,solidworks,oracle,rce,optimus,modelcenter,python application,visualization package,cad programming interface,sas,sumo,tigl,brics,flops,aaa,isight,tixi,spss,openmdao,ceasiom,tornado,git,ideas,prado,cloud visualization,imagenet,triple store,ug,networkx,syndeia,jade,fortran application,oracle server,whatsopt,janus,multilinq,proteus,texttoonto,pykechain,semsearch,brics technology,saxon,fsms,cfview,vivisimo,solidedge,mopcssoviz,daedalus,kaon,davetools,pest,description,knowledge base,system definition,material,ontology,difficulty,knowledge graph,cad,section description,image,quantity,taxonomy,metadata,manufacturing method,video,cad representation,audio,measurement data,design parts,documents,business logic,animation,mind map,bom,forms,explicit geometry,word doc,object definitions,sysml model,process definitions,assemblies,freebase,capp,images,external web page,cfd simulation data,tooling parts,cfd code,lexical data,tools needed,babelnet,implicit geometry,live video,ikewiki,animations,sweetwiki,express,uml,python,aerospace ontology,sql,sysml,sparql,owl dl,vba,wordnet,nosql,cmdows,kadmos,postgresql,rds,bfo,openvsp,cypher,xquery,nasa taxonomy,codex,mdax,rvf,cco,vampzero,topic maps,fortan,dtad,multiwordnet,serql,addam,yawl,step,database,add,xml,owl,rdf,html,pdf,json,direct api,cpacs,ms word,iges,csv,vrml,soap,flash,ms excel,stl,dxf,jpeg,txt,mpeg,parasolid,acis,gif,igs,png,postscript,mov,jpg,dwf,flat file,jpgs,dwg,tiff,wmv,wav,wrp
ground test,26,26,26,26,22,16,23,21,22,21,20,21,23,21,23,20,15,16,14,19,13,14,16,15,17,20,18,12,18,12,10,14,14,17,10,11,17,8,10,10,12,10,10,12,8,9,11,13,17,8,5,12,9,10,7,10,6,5,6,6,11,6,4,13,26,5,8,7,4,4,8,5,2,1,4,3,3,3,1,6,3,4,3,3,4,1,5,2,4,2,3,1,1,1,1,0,1,1,0,1,0,2,1,2,1,0,0,0,1,1,0,24,19,15,9,16,16,14,9,5,8,3,4,2,4,2,2,4,8,4,2,6,2,2,4,2,0,1,0,2,2,1,2,3,0,0,0,2,0,0,2,0,0,1,0,2,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,22,19,20,18,12,16,10,9,12,13,13,8,8,6,8,7,5,8,8,6,5,4,2,2,2,2,2,3,3,2,2,1,1,0,1,0,2,1,1,0,1,0,0,1,0,1,21,10,7,4,9,7,6,3,4,1,2,0,0,2,1,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,23,23,24,19,9,10,9,11,3,4,1,5,1,4,1,1,2,2,0,1,1,2,1,1,0,2,1,1,0,1,1,1,1,0,0,0,0,0,0
disciplinary analysis,26,26,26,26,26,26,22,22,24,20,21,23,17,19,22,22,15,19,23,18,14,20,13,20,10,15,16,17,18,19,12,14,13,14,9,10,12,18,15,12,12,13,9,12,8,14,13,8,11,10,9,14,8,12,11,7,8,7,11,11,5,7,7,5,5,26,8,8,8,7,5,4,7,14,6,6,6,1,5,2,3,6,1,3,1,2,0,0,1,4,0,1,0,1,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,25,19,17,10,14,12,17,10,6,6,6,3,8,8,4,3,7,12,6,4,7,6,3,3,3,6,5,4,4,2,3,1,2,2,2,0,3,4,2,0,3,3,3,3,4,2,2,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,26,22,19,19,14,17,13,12,13,12,12,10,10,9,6,4,7,9,3,5,5,3,0,2,1,1,1,3,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,22,12,13,6,7,8,6,3,2,2,2,3,3,2,1,1,2,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,25,23,22,21,10,10,9,5,7,3,8,3,2,4,2,3,0,1,1,2,1,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
life cycle simulation,25,25,25,25,23,20,22,23,22,23,22,21,20,21,21,21,20,19,21,22,15,17,16,19,11,15,17,15,15,14,14,15,16,11,10,12,18,11,14,15,13,12,11,11,10,8,14,11,12,13,10,14,11,12,10,9,9,6,8,12,8,7,4,7,8,8,25,7,8,6,10,7,4,8,9,3,4,4,3,5,3,3,1,2,3,1,2,2,4,2,2,2,1,1,1,1,0,1,1,1,1,2,1,1,1,0,1,0,1,1,0,21,21,18,11,16,18,13,10,5,6,6,6,5,7,1,1,7,8,8,6,10,2,2,3,3,3,1,4,0,3,4,3,3,2,1,1,3,3,1,3,0,1,1,0,2,2,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,2,0,0,0,0,1,1,1,1,0,0,1,25,22,19,22,16,19,17,14,15,15,14,11,8,14,10,10,7,9,8,6,4,6,6,1,3,3,1,1,4,1,0,1,1,0,1,1,2,1,1,0,1,0,0,1,0,1,21,12,5,4,5,6,2,1,3,2,1,1,1,1,1,1,1,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,25,24,22,17,9,5,9,7,3,4,4,6,1,3,2,0,3,2,1,2,1,1,1,3,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0
business process integration,24,23,23,24,22,22,20,20,24,19,20,20,21,21,18,20,19,20,19,18,15,18,14,14,12,16,18,14,14,15,14,17,13,9,12,13,15,13,13,15,13,14,11,11,10,12,11,9,8,6,9,10,7,8,8,3,4,6,12,9,5,9,8,7,7,8,7,24,4,3,8,6,4,7,3,4,3,6,3,3,6,5,2,0,5,2,1,1,4,6,1,3,1,2,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,22,18,15,10,15,16,12,9,3,8,5,2,6,5,6,5,7,7,6,6,5,5,5,6,1,3,4,1,2,3,3,3,5,1,2,1,2,0,1,2,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,23,24,21,19,17,13,17,13,16,12,10,12,6,14,13,7,10,8,9,7,7,4,4,4,4,4,2,2,1,3,2,0,3,1,0,2,3,1,1,1,0,0,1,0,0,0,23,10,7,9,4,6,6,6,5,2,2,3,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,19,21,15,12,10,7,8,2,5,4,6,2,4,3,2,2,2,1,2,2,1,3,2,1,3,2,0,1,2,2,1,1,1,1,1,1,1,1
knowledge exploration,23,23,22,23,21,23,19,18,19,18,20,21,22,20,20,22,16,15,19,18,17,15,14,20,10,14,12,17,14,12,16,14,14,12,12,11,11,11,12,11,7,13,11,12,11,11,9,11,9,9,11,11,11,9,7,6,6,9,8,10,5,7,5,2,4,8,8,4,23,5,6,6,6,6,5,3,10,2,3,3,2,5,2,3,2,0,0,2,1,2,2,1,2,1,1,0,0,2,0,0,0,1,2,1,0,0,1,0,0,0,0,23,18,19,12,11,12,12,11,9,4,7,8,3,6,5,2,5,11,2,3,8,2,5,1,1,2,1,1,2,0,1,0,1,1,1,0,1,1,0,1,0,0,0,2,2,1,3,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,22,23,17,18,18,18,17,9,12,14,9,12,12,10,10,6,6,11,4,7,6,3,5,1,1,1,3,0,3,0,0,2,0,0,2,0,1,0,0,1,1,0,0,1,0,1,20,13,8,8,7,9,7,5,1,3,2,1,1,3,0,1,2,3,1,2,2,1,1,0,0,1,0,1,0,0,0,0,22,21,21,15,13,11,8,6,6,7,3,3,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
design space visualization,22,22,22,21,20,19,17,18,19,15,19,19,16,15,15,17,13,15,16,13,11,15,12,15,9,8,9,9,13,16,10,8,12,13,8,7,8,7,8,7,10,8,6,11,6,10,7,9,10,19,4,9,7,8,5,1,8,7,6,5,6,4,4,5,4,7,6,3,5,22,1,1,0,6,4,1,5,2,4,3,1,0,2,3,2,2,1,0,4,0,1,0,0,0,0,0,0,3,0,0,1,0,1,1,1,0,0,0,1,1,0,20,14,14,12,7,10,12,8,4,8,4,5,3,5,3,1,3,5,8,5,3,3,2,2,3,3,3,3,1,5,5,3,2,1,0,2,1,2,1,1,1,2,1,1,1,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,19,21,15,12,11,14,14,13,11,10,7,8,6,3,9,8,3,4,4,6,4,4,2,1,2,1,2,0,1,0,1,2,1,1,0,2,0,1,1,1,1,1,0,1,0,1,16,7,5,5,6,4,6,0,1,2,1,2,2,1,1,0,1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,19,19,20,19,7,6,10,4,4,4,5,3,2,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
product verification,21,21,21,21,21,17,19,18,20,18,21,16,17,20,19,16,16,15,18,17,14,17,14,17,14,12,19,12,17,13,13,13,12,9,8,12,18,11,12,14,8,11,12,12,11,14,13,9,11,3,10,12,5,9,8,6,8,4,6,8,9,4,8,8,8,5,10,8,6,1,21,9,5,5,6,5,4,1,3,5,7,4,1,1,2,1,2,3,3,4,3,2,1,1,2,1,2,0,0,1,0,2,0,1,1,0,1,0,1,1,0,19,16,16,8,18,14,13,8,9,7,6,4,5,7,6,1,6,6,5,5,4,5,4,5,1,3,2,2,1,2,3,1,3,1,2,0,1,2,1,2,1,0,0,1,0,1,0,1,1,2,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,20,17,21,18,14,12,13,9,16,13,12,9,8,14,8,7,7,11,7,3,3,3,3,1,2,3,1,3,3,4,0,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,18,10,5,4,4,6,4,4,3,3,2,2,2,3,0,3,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,19,20,19,17,7,5,5,7,4,4,2,4,1,3,1,0,3,2,0,1,1,1,2,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0
general assembly,19,19,18,18,18,15,14,15,19,13,19,17,15,19,16,15,15,16,13,16,12,14,12,13,10,10,17,10,9,11,10,12,10,7,7,10,12,12,10,8,9,9,9,7,8,10,11,5,8,4,7,10,5,5,6,7,5,4,6,7,6,7,8,5,5,4,7,6,6,1,9,19,6,4,4,3,5,4,2,5,3,5,0,1,1,0,0,0,3,3,1,2,0,1,1,0,0,0,1,2,0,1,1,2,0,0,1,1,0,0,0,17,14,11,7,15,14,8,7,5,6,5,4,5,7,2,1,5,6,4,3,4,3,3,1,3,2,1,1,0,1,3,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,0,1,0,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,16,19,14,13,13,10,9,11,9,10,8,6,11,5,8,3,9,4,4,5,1,4,4,2,4,2,3,2,3,2,0,2,1,2,1,1,0,0,1,0,0,1,0,0,0,18,8,5,7,6,5,2,1,3,1,2,1,1,1,0,0,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,16,16,15,15,8,5,5,5,4,4,1,5,0,1,2,0,2,2,1,2,1,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
conceptual modelling,19,19,19,19,19,19,14,17,16,16,17,14,14,14,17,16,14,16,16,13,13,12,14,16,8,13,10,16,11,10,11,10,7,5,7,8,9,13,10,11,5,11,9,7,7,9,6,4,5,2,10,9,7,10,8,5,10,6,4,5,4,6,6,0,2,7,4,4,6,0,5,6,19,7,6,5,3,4,1,3,1,4,1,1,1,0,0,0,1,3,3,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,19,13,11,5,10,8,10,4,7,5,5,7,4,4,5,6,3,6,2,2,4,4,2,2,0,1,2,2,1,1,1,0,3,0,0,1,3,2,0,1,1,1,1,1,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,14,13,14,10,13,10,12,7,12,9,5,10,5,6,3,8,5,3,6,0,5,2,1,1,3,1,1,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,16,6,4,8,5,2,4,3,3,1,2,0,0,1,2,4,2,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,17,15,16,12,9,7,5,8,5,2,2,3,0,1,1,0,0,1,1,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
multidisciplinary modeling,19,19,19,19,19,19,16,16,19,17,16,18,13,14,16,15,14,18,16,15,12,15,11,15,7,9,12,12,15,16,11,12,10,9,7,8,11,11,11,12,11,10,8,7,8,11,12,7,5,10,10,12,6,10,9,3,8,4,10,9,4,5,5,1,1,14,8,7,6,6,5,4,7,19,6,5,3,2,4,1,2,4,0,1,1,1,0,0,2,5,0,0,0,2,1,2,2,1,0,0,2,0,0,0,0,1,1,0,0,0,0,19,15,13,9,10,12,14,7,4,6,6,2,6,6,3,3,7,7,6,5,4,6,4,2,1,6,4,4,4,3,3,0,1,2,2,0,2,4,2,0,3,0,1,2,3,2,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,19,15,15,14,12,16,11,13,8,8,9,4,9,9,6,6,5,6,4,4,4,3,1,2,2,2,1,1,2,0,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,17,9,8,6,5,4,3,2,2,2,2,3,3,3,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19,17,16,15,5,3,7,4,6,5,6,3,2,3,3,0,1,1,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
problem solving,19,19,18,19,18,19,19,17,14,18,15,16,17,15,18,18,11,14,16,16,14,15,13,15,13,10,11,15,12,11,12,9,11,10,9,9,8,9,12,10,7,8,7,11,9,9,9,6,8,8,10,10,9,9,19,5,9,5,5,6,7,4,2,4,4,6,9,3,5,4,6,4,6,6,19,4,4,3,1,3,2,4,2,2,2,2,1,1,2,1,3,0,1,0,0,1,0,1,1,0,2,2,1,1,1,0,1,0,1,1,0,18,15,15,8,11,11,13,5,8,5,2,8,1,5,1,1,3,8,7,5,5,4,2,1,0,1,2,2,3,4,2,1,2,0,0,0,2,2,0,3,2,0,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,19,15,13,14,14,15,6,11,13,10,11,4,7,10,5,8,6,4,5,1,4,6,0,2,2,1,0,1,0,0,2,0,1,2,0,1,1,1,1,0,0,0,0,0,0,16,4,6,6,7,1,3,1,1,2,2,0,0,2,0,1,2,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,19,18,18,12,6,6,6,5,4,4,1,3,0,0,0,0,2,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
workflow management,16,15,15,15,16,14,14,14,13,14,15,15,11,13,13,12,13,16,12,14,10,11,11,9,7,8,15,9,12,13,7,8,7,5,7,6,10,8,4,7,6,6,6,8,8,7,11,4,7,5,8,7,6,6,7,2,7,4,3,3,5,3,5,1,3,6,3,4,3,1,5,3,5,5,4,16,2,1,3,1,4,5,3,1,2,1,0,1,1,2,1,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,16,11,10,9,14,7,6,5,5,7,4,4,6,7,4,3,5,6,7,7,4,13,2,3,2,5,5,3,5,2,2,1,4,3,3,1,3,2,3,1,2,2,2,2,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,15,14,15,11,12,11,12,10,10,8,12,5,6,7,7,3,6,5,5,2,2,2,1,3,0,0,1,2,0,2,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,13,5,9,3,7,3,5,3,2,1,1,2,2,2,0,3,3,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,15,15,13,15,7,6,5,3,4,5,5,3,3,2,1,2,0,1,1,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
knowledge discovery,15,15,15,14,15,15,13,12,13,13,12,14,15,11,14,14,12,8,13,11,13,9,11,12,7,10,6,12,9,9,13,10,12,8,10,11,5,8,10,9,5,10,11,9,5,6,5,4,7,6,8,7,8,5,5,3,4,6,6,9,2,7,3,2,3,6,4,3,10,5,4,5,3,3,4,2,15,2,2,2,3,4,4,5,3,0,0,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,14,14,12,7,4,9,8,9,8,3,4,7,2,5,5,0,2,7,2,2,4,3,4,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,15,15,15,12,12,13,10,5,8,11,6,9,9,7,8,4,3,8,2,5,4,3,3,0,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,14,5,5,8,7,4,9,4,1,4,2,0,0,1,0,1,1,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,14,14,14,10,10,9,6,6,4,4,0,2,1,1,1,2,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ontological engineering,15,15,15,15,15,15,13,13,12,12,13,12,14,12,13,15,12,11,10,7,12,8,10,12,7,9,11,10,7,9,10,9,10,6,13,9,5,8,13,8,6,10,8,5,6,5,2,6,7,5,6,5,6,4,4,3,2,2,6,7,2,11,3,2,3,1,4,6,2,2,1,4,4,2,3,1,2,15,0,2,0,1,1,0,2,2,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,14,11,11,5,10,10,5,3,5,1,4,6,2,1,3,4,2,4,2,3,3,2,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,15,12,9,15,11,11,6,10,6,7,8,4,7,9,4,3,2,2,5,5,2,4,3,2,3,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,15,6,2,12,1,3,3,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,13,12,11,6,12,9,5,6,2,2,0,4,0,1,2,0,1,1,1,1,1,4,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
mdao,13,13,13,13,10,8,8,10,11,10,10,12,8,9,9,10,8,13,10,10,3,11,4,5,4,4,8,5,9,9,4,5,6,2,2,5,4,4,6,5,9,4,4,7,4,8,4,8,6,8,3,2,2,3,2,2,5,4,4,3,4,2,2,3,1,5,3,3,3,4,3,2,1,4,1,3,2,0,13,2,1,1,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,7,8,6,6,5,4,6,4,4,0,2,4,3,1,1,0,3,4,3,3,4,1,0,3,10,8,4,1,1,0,1,0,3,6,2,2,2,3,1,3,0,0,1,0,2,2,0,0,0,2,1,0,0,1,2,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,13,12,10,8,4,6,10,7,6,4,5,2,5,3,3,2,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,8,1,4,5,1,0,1,0,2,9,8,1,1,0,1,1,1,0,1,2,2,0,0,0,1,1,0,0,0,0,13,10,11,13,1,1,2,2,6,1,10,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calculation report,12,12,12,11,12,11,9,11,11,11,11,10,8,11,10,9,8,9,7,9,3,8,7,10,5,7,8,6,6,7,6,8,6,8,5,6,8,7,5,5,7,7,6,9,3,6,7,8,9,4,2,7,4,5,3,5,4,2,5,4,4,4,5,2,6,2,5,3,3,3,5,5,3,1,3,1,2,2,2,12,3,0,1,3,2,1,2,1,2,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,11,7,6,4,8,6,6,3,4,0,3,3,2,3,1,0,1,4,3,1,2,1,2,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11,10,11,9,5,5,5,5,9,5,4,5,3,4,2,3,1,5,4,2,1,2,3,0,0,1,1,1,2,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,8,4,2,2,2,3,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,12,9,9,11,5,4,2,3,2,1,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
customer service,10,10,10,9,10,9,8,9,9,10,9,9,8,9,8,8,8,8,7,9,7,8,8,9,7,5,7,6,9,8,6,6,5,6,5,6,7,6,6,6,5,6,6,5,3,6,6,3,5,3,4,5,1,5,3,3,2,1,3,2,1,1,5,3,3,3,3,6,2,1,7,3,1,2,2,4,3,0,1,3,10,3,2,0,2,1,1,0,2,3,1,2,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,9,7,8,6,6,5,5,6,4,3,2,2,3,4,3,0,3,4,4,4,2,4,3,3,0,1,1,0,1,1,1,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,8,6,8,6,4,9,7,4,5,4,7,5,1,5,6,4,0,1,3,1,1,1,1,1,1,0,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,7,5,3,1,2,3,3,3,2,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,8,3,3,2,3,1,4,1,1,2,1,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
automated reasoning,10,10,10,10,10,10,10,9,10,10,9,9,9,9,10,10,9,8,10,10,10,9,8,10,5,8,7,9,8,8,6,9,9,5,6,7,6,6,7,8,5,6,7,6,5,6,8,1,6,4,7,8,6,6,4,4,3,4,4,4,4,3,4,3,4,6,3,5,5,0,4,5,4,4,4,5,4,1,1,0,3,10,2,1,3,0,0,0,1,3,0,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,10,9,7,5,6,9,8,7,3,5,1,2,3,4,3,1,3,8,1,1,4,4,2,2,0,1,2,2,1,2,1,0,2,0,0,0,3,2,0,1,1,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,8,8,9,6,9,8,7,7,6,7,6,4,4,6,5,2,4,2,2,2,1,2,2,1,0,1,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,10,5,4,3,6,3,4,3,1,1,3,0,0,2,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,5,5,4,4,3,4,1,3,2,1,3,0,2,2,1,2,2,1,2,1,1,2,2,0,1,2,1,1,0,1,1,1,1,1,1
authoring,9,9,10,9,9,9,9,7,4,10,7,8,10,6,8,8,7,5,9,6,6,5,9,6,5,7,3,8,6,7,6,4,7,6,7,7,3,7,4,6,4,3,5,6,3,1,3,3,2,5,4,2,5,3,4,1,4,4,3,1,2,1,3,1,3,1,1,2,2,2,1,0,1,0,2,3,4,1,0,1,2,2,10,1,3,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,9,7,6,3,4,1,4,3,3,4,2,2,3,3,1,1,5,1,1,2,4,2,2,1,0,0,1,0,1,0,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,10,9,8,9,8,9,7,4,7,9,5,4,7,6,7,1,6,2,3,4,1,3,2,2,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,8,3,1,2,3,2,4,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,10,8,8,6,7,3,2,4,0,2,3,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
system arch,10,10,10,9,8,10,9,10,7,9,6,9,9,5,7,8,8,6,8,8,7,4,6,7,4,7,3,7,4,4,7,6,6,6,3,5,3,6,2,3,1,4,6,4,3,3,2,5,6,3,3,4,5,2,3,2,2,3,1,5,1,5,1,0,3,3,2,0,3,3,1,1,1,1,2,1,5,0,2,3,0,1,1,10,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10,6,5,6,3,4,4,5,6,3,1,4,3,1,1,0,1,3,0,0,2,1,2,2,2,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,8,9,8,9,6,7,7,5,3,6,5,5,4,2,3,3,2,3,2,3,2,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,8,3,4,3,5,2,4,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,10,9,6,5,4,3,3,3,0,0,2,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
