;system design;concept design;knowledge engineering;system integration;product design;knowledge management;product support;decision support;link analysis;detailed design;test report;information search;feature processing;resource description;system specification;product data management;knowledge capture;access product design data;system identification;engine analysis;configuration management;data validation;information classification;data storage;knowledge base building;semantic representation;knowledge classification;knowledge storage;project planning;business process integration;failure management;preliminary design;data visualization;information sharing;ground test;calculation report;design space visualization;mission analysis;life cycle simulation;flight test;product verification;knowledge exploration;knowledge discovery;customer service;general assembly;context inference;ontology modeling;conceptual modelling;workflow management;flight test report;system synthesis;multidisciplinary modeling;express ontology;knowledge based engineering;information push;enterprise resource planning;disciplinary analysis;descriptive information generation;physical sensing;ontological engineering;information clustering;automated reasoning;structural solver;manufacturing preparation;problem solving;multimedia document processing;terminology recognition;nation decision;design blueprint;tooling development;share documents;mdo process formulation;generate fem model;semantic lexicon;design concepts formalization;airworthiness test;interest profiling;activity profiling;system architecting;wf execution;convert file formats;accessory manufacture;managing project files;digital mockup;identify different tooling types;engine accessory purchase;semantic information transferring;issue tc pc ac certification;software interlinking;wide body transports;knowlege graph construction;pattern analyis;knowledge systematisation;processe data;product data management system;share point;express application;expert systems;web server;file server;java application;workflow systems;data mining;visualization package;engineering java programming;python application;learning tools;cloud visualization;cad programming interface;triple store;fortran application;oracle server;surrogate model repository;eclipse plugin;inverted index;optimus workflow management tool;brics technology;nextgen avionics systems;vampzero element;jupyter notebook;gkn fokker;electronic bulletin boards;nasa ames function table processor scripts;knowledge mangement tool;cad representation vdsm;software interlinking tools;cpacspy library;qfview web interface;swf software package rce;knowledge base;system definition;section description;measurement data;manufacturing method;external web page;cad representation;mind map;explicit geometry;live video;cfd simulation data;cfd code;implicit geometry;design parts;sysml model;word doc;lexical data;process definitions;object definitions;point clouds;tooling parts;pdf files;word processor documents;tools needed;formatted documents;direct api;ms word;flat file;ms excel;owl dl;topic maps;aerospace ontology;nasa taxonomy;orbital space environment domain ontology;airspace system ontology;bond graphs
Zhong et al. - 2021 - A Game-Based Product Modelling Environment for Non;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;3869;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;2230;-1;0;0;0;0;0;0;0;0;-1;-1;0;0;-1;0;0;11564;0;-1;0;-1;-1;0;0;0;0;0;0;-1;0;0;0;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;22143;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Nambiar et al. - 2002 - Current approaches to XML management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;22249;0;-1;0;0;-1;0;0;2602;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;0;-1;-1;0;0;0;-1;-1;-1;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;-1;0;0;-1;-1;-1;0;-1;0;0;0;0;-1;-1;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;0
Bussemaker et al. - 2022 - From System Architecting to System Design and Opti;0;0;0;0;0;0;0;1178;0;0;-1;1359;0;-1;0;2111;0;1445;0;0;3960;1412;0;-1;0;0;-1;-1;0;0;-1;-1;0;0;0;0;0;0;-1;0;0;2513;0;0;0;0;0;0;1314;-1;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;3837;-1;-1;0;5508;-1;0;-1;0;0;0;0;0;0;-1;0;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;-1;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Rovetto - 2016 - Orbital Debris Ontology;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1783;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;-1;2902;0;0;0;0;0;-1;0;0;-1;4665;0;0;0;0;0;0;2414;0;0;3357;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;-1;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ross - 2023 - 3.19 Using the Adaptable IO System (ADIOS) for Ef;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315;0;0;2464;0;0;0;0;0;0;0;0;0;1472;0;0;0;0;0;0;0;0;3216;0;0;0;0;18558;0;7158;0;1689;25539;0;0;1411;0;0;-1;0;3822;0;20924;0;0;0;0;0;3722;24888;0;0;5799;0;-1;8857;0;7422;-1;4054;9155;0;7309;0;-1;0;-1;12966;-1;0;13851;-1;-1;-1;-1;-1;0;0;0;0;0;0;2133;0;0;0;0;0;0;0;0;3346;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;7229;0;0;0;0;0;1857;0;29675;230112;19018;0;-1;0;0;0;0;0;0;482441;0;0;-1;0
Li et al. - 2018 - Research on Intelligent Fault Diagnosis of Portabl;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;2804;0;0;-1;0;0;0;0;0;0;0;-1;0;3571;-1;0;0;0;0;0;0;11718;-1;0;0;0;0;0;-1;0;0;-1;0;0;-1;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Mastella - 2010 - Semantic exploitation of engineering models appli;0;0;0;0;0;0;0;0;0;0;1498;0;0;0;0;0;0;4473;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;14524;0;1925;0;0;-1;2618;0;0;0;0;1274;0;2265;0;-1;-1;0;0;0;0;-1;0;2965;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;1510;-1;-1;-1;0;0;0;-1;0;-1;7449;-1;0;-1;-1;139188;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82623;0;0;-1;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;6186;0;0;0;0;3511;-1;0;7413;0;-1;0;0;0;0;0;5964;0;0;0;-1;0;0;0;0;0;0;5099;0;0;-1;0
Paielli - 2018 - Trajectory Specification Language for Air Traffic ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1917;0;0;0;-1;0;0;0;0;0;0;0;0;0;5640;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;1766;0;0;0;0;40536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Wang et al. - 2018 - Knowledge representation and reasoning methods in ;0;0;0;0;0;0;0;0;10324;0;-1;0;0;0;0;0;0;1008;0;0;-1;0;0;0;0;0;-1;0;0;0;3361;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;3711;0;-1;5837;5347;0;0;2877;0;0;0;-1;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;-1;0;-1;-1;-1;0;0;0;1501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;4793;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0
Perme et al. - 2003 - Achieving Interoperability of Command and Control ;0;0;0;0;0;0;0;0;0;-1;5404;0;0;0;0;0;0;0;0;1162;-1;0;0;0;0;0;-1;0;0;0;0;-1;0;0;4062;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6307;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Peng et al. - 2017 - A collaborative system for capturing and reusing i;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3523;0;3384;0;0;0;0;-1;2067;0;0;0;0;0;0;0;-1;1992;-1;0;0;0;0;0;0;0;0;0;-1;-1;15083;2929;0;0;-1;0;0;0;-1;-1;0;0;0;0;-1;0;2322;0;-1;0;0;-1;0;0;-1;-1;-1;0;0;0;-1;0;-1;-1;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Schindler et al. - 2022 - The role of software in science a knowledge graph;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;3597;0;0;-1;-1;0;0;0;0;0;1203;16230;0;-1;-1;-1;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;-1;-1;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19570;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;44433;0;0;0;11388;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;15741;0;0;-1;0
Van Gent et al. - 2018 - CMDOWS a proposed new standard to store and excha;0;0;0;0;0;0;0;-1;0;0;0;0;0;16929;0;4202;0;1819;0;0;0;0;0;0;0;0;-1;0;-1;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;-1;0;0;-1;0;0;-1;-1;0;-1;0;61691;-1;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;3050;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;-1
Wagner et al. - 2020 - Representing construction-related geometry in a se;0;0;0;0;0;0;0;0;0;1685;-1;0;0;0;0;0;7660;0;0;0;-1;-1;0;0;0;0;-1;0;1531;2182;-1;-1;-1;0;0;67315;0;0;3085;0;0;0;0;0;0;-1;0;0;5883;-1;-1;-1;0;0;0;-1;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;1398;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;1840;0;0;0;-1;0;0;0;0;0;-1;0;-1;0;1077;10056;0;0;0;0;0;1040;0;0;-1;0
Petrelli et al. - 2009 - Multi Visualization and Dynamic Query for Effectiv;0;0;0;0;0;0;0;0;3099;0;0;0;0;0;0;37536;0;0;1102;0;-1;-1;-1;0;0;0;-1;0;-1;0;-1;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;-1;-1;-1;0;-1;-1;-1;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;2148;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;5603;0;0;0;1535;0;0;-1;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;2602;0;0;0;0;0;0;0;0;-1;0
Wang et al. - 2018 - Formal verification method for configuration of in;0;0;0;0;0;0;0;0;0;-1;17946;0;0;0;0;0;0;2803;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;-1;0;-1;-1;-1;0;-1;0;0;0;0;0;0;0;0;-1;-1;40732;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;2967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Cole und Simmons - 2016 - An Integrated Systems Modeling and Analysis Platfo;0;0;0;0;0;0;0;0;0;2104;0;0;1159;0;1287;0;0;1817;-1;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;10190;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;-1;0;0;0;0;4563;0;23113;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;-1;0;0;0;0;0;-1;0;-1;0;-1;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5311;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Chen - 2008 - Computer-assisted transformation of design documen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2173;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;13400;-1;-1;-1;-1;0;0;-1;0;6090;0;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;-1;-1;0;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;14217;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;2594;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0
Kourakis - 2005 - Ontology-based knowledge management for technology;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1226;0;0;0;0;0;0;4444;-1;0;0;0;0;-1;0;0;0;0;-1;-1;-1;0;0;0;0;0;2432;0;0;0;0;0;0;0;0;1175;0;0;-1;0;0;-1;0;-1;-1;2091;-1;0;-1;23257;-1;0;-1;-1;-1;0;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;2135;0;3656;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;3941;-1;0;0;0;-1;0;0;0;0;-1;0;0;0;1194;-1;0;0;0;0;0;0;0;0;0;-1;0
Munjulury et al. - 2013 - Integrated Aircraft Design Network;0;0;0;0;0;0;1104;0;0;0;-1;0;0;0;0;0;0;0;0;0;1476;-1;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;1552;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;0;-1;0;0;0;-1;0;5649;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;1779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
